Date,SMB,HML,Mom,bond_index,equity_index,commodity_index,spx
1984-01-31,-0.7,0.18,0.11,0.02036518723353531,-0.00026720193634865996,-0.026514398269836703,-0.014462641611174498
1984-02-29,0.18,0.03,-0.02,-0.005385615985026293,-0.019170772405559755,-0.013489435499221436,-0.035232574773570335
1984-03-30,0.29,-0.01,0.27,-0.01149904043475547,0.03826729707370902,0.041356139968937056,0.007487446322179014
1984-04-30,-0.03,0.03,0.0,-0.0022363817734216695,-0.011584128790732895,-0.035087505947758224,-6.1387147967773e-05
1984-05-31,0.15,-0.79,-0.4,-0.03145072567259122,-0.08181843174243242,0.011676717699055539,-0.06516345368779053
1984-06-29,0.14,0.21,0.08,0.012524994693059899,8.221011047915283e-06,-0.036016155563357355,0.011488080591279815
1984-07-31,-0.06,-1.0,-0.34,0.04469832033719712,-0.04439498133264197,-0.08754469197972181,-0.02240311445272669
1984-08-31,0.14,0.04,-0.01,0.01653716735203581,0.09004854470845847,0.03317254819128257,0.09880130659660158
1984-09-28,0.44,0.33,0.22,0.023459893095260087,-0.009969982893620832,-0.002994874669865033,-0.009060269497575879
1984-10-31,0.17,0.15,0.37,0.042171443906076744,0.005432295330437542,-0.005073940420042389,-0.0027597767608316115
1984-11-30,-0.12,0.35,0.07,0.017649375160946112,-0.015201772321571272,-0.0019289811580450733,-0.028812232663878556
1984-12-31,0.18,-0.03,-0.28,0.014384372041488458,0.013646474390924146,-0.029715126342559572,0.017727235194063384
1985-01-31,0.11,0.48,-0.23,0.02253482106487925,0.026241322216128182,-0.007291280823481072,0.04320815687508883
1985-02-28,-0.1,-0.3,-0.02,0.0,0.0012703625019487852,-0.01502932004985047,0.005548244114014889
1985-03-29,-0.15,0.2,-0.34,0.020155550939108702,0.024586341662797606,0.036364908161824694,-0.004650755420646968
1985-04-30,0.01,0.42,-0.09,0.020461477612147227,-0.00990456336284018,-0.05771779741348282,-0.009287678293106172
1985-05-31,-0.55,0.01,-0.08,0.05205709175831874,0.04311028295990149,-0.0035718773763175893,0.04917791451476283
1985-06-28,0.22,0.02,0.16,0.01037960417947148,0.010975661923839475,-0.046043197642127276,0.01088120857178354
1985-07-31,-0.23,-0.44,0.1,-0.0036920459209318635,0.011105920632431321,-0.04017609436730918,-0.009219709547040877
1985-08-30,0.39,0.32,0.01,0.018596528983273686,0.0013857018703022916,0.012382448402526114,-0.01637001861998999
1985-09-30,-0.33,0.15,0.43,0.005831249810296146,0.0064497568777874825,0.06395980083593633,-0.03858556241475741
1985-10-31,0.19,0.13,0.34,0.020757438415983875,0.03856598105864406,0.058434119666582074,0.026249689503560658
1985-11-29,0.38,-0.06,-0.11,0.02382778016143483,0.04147789506249677,-0.005470292567704593,0.04180116304786008
1985-12-31,0.15,0.29,-0.11,0.03036808655270562,0.04017194077255981,-0.03147629119812789,0.040681584972636076
1986-01-31,-0.46,0.01,0.34,0.005366935818175378,0.016987899024394792,-0.11369078485562945,0.0025038374134582764
1986-02-28,0.36,-0.01,0.49,0.039227417871462,0.07875315742564637,-0.06690354478552896,0.06745891167055773
1986-03-31,0.21,-0.14,0.76,0.030877763406964354,0.09164154084100806,-0.021297611536535088,0.04892712953729217
1986-04-30,0.65,0.53,-0.36,0.005127929212425997,0.021682735268409692,0.017800002185477393,-0.017840561976046554
1986-05-30,0.41,0.16,-0.29,-0.019290689679719364,-0.008843374305002816,-0.06092529669089819,0.04642389696921545
1986-06-30,0.11,0.03,0.34,0.026008500096415643,0.03437532552450895,-0.01432901336577197,0.010401407156730436
1986-07-31,0.06,-0.17,-0.02,0.008690330730483753,0.003845022567916745,-0.017322129696721422,-0.06207545433591055
1986-08-29,0.18,-0.1,-0.03,0.024705608391403233,0.08572525075195281,0.083608001858956,0.06594027870063579
1986-09-30,0.03,-0.14,-0.05,-0.010014684558164122,-0.051391572226499704,-0.03772810915175828,-0.08825197239201865
1986-10-31,0.27,0.32,-0.63,0.014310004829491518,-0.017364894088485072,0.005967556275005892,0.04945119902535344
1986-11-28,0.28,0.23,-0.2,0.013838311696982242,0.028494263854112134,0.006382390313456776,0.014804558613704666
1986-12-31,1.03,-0.17,-0.33,0.00359487465535846,0.016041342912608725,-0.012709802381742685,-0.03160634124535333
