Date,SM,NO,CL,UB,SB,TP,CD,CN,GC,TY,YM,XB,CT,RX,W ,ST,Z ,AD,C ,VF,LA,SF,LN,IB,KC,XP,DU,CO,US,JA,EC,OE,NG,EO,SI,ES,XM,BO,G ,QS,LX,LP,BP,LH,TU,CC,S ,SE,NV,HO,GX,JY,FV,JB,LC
1984-01-03,-0.046866827,,-0.0072989111,,-0.038254804,,,,-0.0164876225,-0.0028527115,,,-0.02346543,,-0.026398661,,,,-0.0224966955,,,,,,-0.0075300145,,,,-0.0050759346,,,,,,-0.0466726678,,,-0.0336786989,-0.0027518591,,,,,,,-0.0172679357,-0.0362566575,,,,,,,,-0.0135259121
1984-01-04,-0.0113656865,,0.0036138966,,0.0023947503,,,,-0.0054942983,0.0044304845,,,0.0057399751,,0.0032816029,,,,-0.0002545753,,,,,,0.0110648994,,,,0.0070093472,,,,,,-0.0105662637,,,0.0067905295,0.0049407296,,,,,,,-0.036873755,-0.0137120162,,,,,,,,0.002735791
1984-01-05,0.0132303789,,-0.0073176355,,-0.0117829137,,,,-0.0055200894,-0.0002527671,,,-0.002311272,,0.0096032786,,,,0.0103609776,,,,,,0.0131728172,,,,-0.0008537287,,,,,,0.0020567623,,,0.0177594555,0.0008957781,,,,,,,0.0196956251,0.0171395257,,,,,,,,0.0220813339
1984-01-06,-0.029521279,,-0.0041339695,,-0.005356267,,,,-0.0206459987,0.0023376873,,,-0.0148008096,,-0.0002529863,,,,-0.0085015552,,,,,,-0.0040826287,,,,0.0033549512,,,,,,-0.0579891021,,,-0.0288469831,0.0010854458,,,,,,,-0.0434562557,-0.0316496343,,,,,,,,-0.0104513657
1984-01-09,-0.0221810538,,0.0094870269,,-0.0246792221,,,,-0.006462924,-0.0012868246,,,-0.0142446397,,-0.0002532329,,,,0.001261735,,,,,,-0.0044393191,,,,-0.0008523941,,,,,,-0.0272081598,,,0.0067397741,0.0031838494,,,,,,,-0.0340170893,-0.0152491955,,,,,,,,-0.0042934587
1984-01-10,0.0128248229,,-0.0008962649,,0.0155204824,,,,0.0065400147,0.0028508054,,,0.006115537,,0.0067152127,,,,0.0088077525,,,,,,0.0068101536,,,,0.004542985,,,,,,0.0199090335,,,0.0268786049,-0.0055814369,,,,,,,0.0098510215,0.0205923542,,,,,,,,0.013422399
1984-01-11,-0.0062469427,,-0.0002533973,,-0.0027182728,,,,0.0070427135,-0.0023163163,,,0.0052978407,,-0.0023325053,,,,0.0004961493,,,,,,-0.0095388614,,,,-0.0026400321,,,,,,0.0059052725,,,0.0190862254,-0.012880143,,,,,,,0.0191276593,0.0035323088,,,,,,,,0.0062999117
1984-01-12,0.0071678078,,0.0016771595,,0.0622621011,,,,-0.0031997546,-0.0012869342,,,0.0104566056,,0.0032088441,,,,0.0019786332,,,,,,0.0096923907,,,,-0.0014495147,,,,,,0.0046712583,,,-0.0039553323,0.0038156364,,,,,,,-0.03817627,0.0035180861,,,,,,,,0.0185667555
1984-01-13,-0.0020887987,,0.0023218649,,-0.0444332246,,,,0.0016305539,0.0121687557,,,0.002811594,,-0.0009392619,,,,0.000500139,,,,,,0.0082573012,,,,0.0147228818,,,,,,0.0143988531,,,0.0061005538,0.0078578007,,,,,,,-0.0051345559,9.43908578059243E-05,,,,,,,,0.0061602382
1984-01-16,-0.0486814877,,0.0042345515,,-0.0182546196,,,,-0.003468176,0.000772219,,,-0.0064575513,,-0.0126955196,,,,-0.0255947561,,,,,,-0.0050992957,,,,0.0021101286,,,,,,-0.018313495,,,-0.0334035996,-0.0006326018,,,,,,,-0.0279029672,-0.0381509599,,,,,,,,-0.0066163761
1984-01-17,-0.0046131267,,-0.0053525888,,-0.0081791902,,,,-0.0015990981,-0.0028028706,,,0.015639863,,-0.0058505644,,,,0.0089282626,,,,,,-0.0012402643,,,,-0.002604874,,,,,,-0.0020845945,,,-0.0345412632,-0.0046549907,,,,,,,0.0569581926,-0.0242656905,,,,,,,,0.0139616466
1984-01-18,0.008024013,,0.0074397871,,0.0274697572,,,,-0.0018729659,-0.0017878327,,,-0.0037045162,,-0.0185576615,,,,-0.0040485666,,,,,,0.0030026264,,,,-0.0032023731,,,,,,-0.0033148813,,,-0.0297466711,-0.0019836227,,,,,,,-0.0351507341,-0.0046161569,,,,,,,,0.0018645572
1984-01-19,0.0074732706,,,,0.0099540956,,,,0.0135282181,0.0007726496,,,-0.000901957,,-0.0145991527,,,,-0.0048098368,,,,,,0.0053056499,,,,0.0021143982,,,,,,0.0366925217,,,0.0085760572,-5.97875260644141E-05,,,,,,,0.0525886879,0.0068086494,,,,,,,,-0.0212443842
1984-01-20,-0.0246911279,,,,0.0201933011,,,,-0.00798474,-0.0017902353,,,0.010686071,,-0.0148203656,,,,-0.0117226942,,,,,,0.0134754977,,,,-0.0037960496,,,,,,-0.0109454358,,,-0.0038724473,-0.0085377047,,,,,,,0.0518771111,-0.017057812,,,,,,,,-0.0016756133
1984-01-23,-0.0071294608,,-0.0129758792,,-0.0400929311,,,,-0.016633954,0.0007724081,,,-0.0079677941,,0.0174759136,,,,0.0036036444,,,,,,0.007413526,,,,0.0003391842,,,,,,-0.0254601144,,,0.0026181462,0.0011065185,,,,,,,0.0165543062,-0.0022205266,,,,,,,,0.004034417
1984-01-24,0.0467297055,,0.0061898195,,-0.0572139508,,,,0.0011134838,-0.0007657745,,,-0.0101876118,,0.0033802026,,,,0.0305755721,,,,,,-0.0131447733,,,,-0.0002534795,,,,,,0.0034326417,,,0.0360412574,0.003626249,,,,,,,-0.0422943738,0.0407715298,,,,,,,,-0.0055986986
1984-01-25,-0.0290677572,,0.0023074222,,0.0299470714,,,,0.0016577388,-0.0002533973,,,7.37921824133086E-05,,-0.0205070471,,,,-0.0054923692,,,,,,0.0021118092,,,,-0.0026216625,,,,,,0.0009707973,,,-0.0198373401,-0.0046978417,,,,,,,0.033658432,-0.0196616813,,,,,,,,-0.0167186126
1984-01-26,-0.0216538193,,0.0054940853,,0.0078338935,,,,-0.003523025,0.0012846319,,,0.0067247173,,-0.0223926609,,,,-0.0137805852,,,,,,-0.0076650409,,,,0.0009339025,,,,,,-0.0014757388,,,-0.0345671729,0.0018820521,,,,,,,-0.0076811715,-0.0274072772,,,,,,,,-0.0064326693
1984-01-27,0.0101855401,,0.0060973707,,-0.0188028509,,,,0.0084889179,-0.0007636063,,,0.0102505464,,-0.0130783333,,,,0.0020362147,,,,,,0.0020508297,,,,-0.0008446038,,,,,,0.0279602839,,,0.0075586528,-0.0029634374,,,,,,,0.0008172673,0.009052221,,,,,,,,0.0162242495
1984-01-30,0.0086015543,,-0.0084542489,,0.0158395979,,,,0.0016370662,-0.0012764217,,,-0.0044310768,,0.0127407982,,,,-0.0017742409,,,,,,-0.0068747495,,,,-0.0032179552,0.0112977958,,,,,0.0045371232,,,-0.0105572446,0.0079045675,,,,,,,-0.016368861,0.000485107,,,,,,,,-0.0049353471
1984-01-31,-0.0095160751,,0.0029283602,,-0.0055313361,,,,0.0094784227,-0.0002523014,,,0.0147035841,,-0.0077992615,,,,0.0020340052,,,,,,-0.0014414177,,,,-0.0014420694,0.0051563525,,,,,0.0282398754,,,0.011278548,-0.003141918,,,,,,,-0.0395260334,-0.0033228,,,,,,,,-0.0096623503
1984-02-01,0.0002398794,,0.0098936,,-0.0136462319,,,,0.0147734341,0.0007728688,,,-0.001736398,,0.0172411178,,,,0.0005081172,,,,,,0.0069096939,,,,0.0015345313,0.0003454821,,,,,0.0228421998,,,0.0180378427,0.0003273516,,,,,,,-0.007339346,0.0107123955,,,,,,,,0.0057944444
1984-02-02,0.0115518715,,-0.0033920744,,0.0161401002,,,,0.0176719399,0.0043549525,,,0.0017638568,,-0.0047331065,,,,0.0050651598,,,,,,0.001701255,,,,0.0062864911,0.012888832,,,,,0.0178154007,,,-0.0010052222,0.0024498821,,,,,,,0.030469736,0.0068146566,,,,,,,,0.0019940051
1984-02-03,-0.0153269568,,-0.0034050804,,0.0088161149,,,,-0.0010195248,-0.0007661497,,,-0.0167853914,,0.0012361376,,,,-0.0032795317,,,,,,-0.0026252755,,,,-0.0026191356,0.0091774965,,,,,-0.0024686883,,,-0.0063596344,0.0005138019,,,,,,,-0.0083857311,-0.0127201637,,,,,,,,0.0034980971
1984-02-06,-0.0190131835,,0.0016381221,,-0.0317255452,,,,-0.01174871,-0.003826621,,,0.0032982546,,-0.0062516483,,,,-0.0025311882,,,,,,-0.0046520451,,,,-0.0049935442,-0.0142757053,,,,,-0.0213701124,,,-0.0111082923,-0.0114172985,,,,,,,-0.0127026274,-0.01177521,,,,,,,,-0.0036165538
1984-02-07,-0.0093112849,,-0.004040061,,-0.0409996098,,,,-0.0023270107,-0.0012805004,,,0.0016754082,,0.0042744612,,,,-0.001776531,,,,,,-0.0202902542,,,,-0.0020416109,-0.0067735466,,,,,0.0031404621,,,-0.0083358772,-0.0016190916,,,,,,,-0.0176749917,-0.0105457899,,,,,,,,0.0132264995
1984-02-08,0.0104029944,,-0.0002569041,,-0.0018698073,,,,0.0025915634,-0.0007691992,,,-0.0070071452,,0.0080021676,,,,0.0020259229,,,,,,-0.0020415958,,,,-0.0014487992,0.0003393988,,,,,0.0201099036,,,-0.0028289206,-0.0055180109,,,,,,,0.0294615526,0.009763136,,,,,,,,0.0090010852
1984-02-09,-0.0188389962,,-0.0072173952,,0.0027063964,,,,-0.0098107272,-0.0017930429,,,-0.0127688542,,-0.0144121582,,,,-0.0078322778,,,,,,0.0091238429,,,,-0.0026420047,0.003916263,,,,,-0.0257462067,,,-0.033949714,0.0034664715,,,,,,,-0.0143313192,-0.0246849334,,,,,,,,-0.0068633742
1984-02-10,-0.0002564658,,-0.0002564658,,-0.0002564658,,,,-0.0031242452,-0.0043632419,,,-0.0065924937,,-0.0161181818,,,,-0.0079065216,,,,,,0.0126539099,,,,-0.0068354131,-0.0044107684,,,,,-0.0002564658,,,-0.0056825465,0.004622535,,,,,,,0.0299407405,-0.0024173911,,,,,,,,-0.0157492067
1984-02-14,0.0151986903,,0.0035938309,,-0.0208815635,,,,0.01545683,0.0033696827,,,0.0032931669,,0.0075125074,,,,-0.0119675212,,,,,,0.0101937234,,,,0.0021625824,-0.0097924212,,,,,0.0443670652,,,-0.0125652373,0.0028471247,,,,,,,-0.0153120958,-0.0002572603,,,,,,,,-0.0084687494
1984-02-15,0.0124267387,,0.0029397529,,0.0162482289,,,,-0.0056686522,0.0007753464,,,-0.0019155529,,0.0120740622,,,,0.0068459036,,,,,,0.0033992132,,,,0.0015533228,0.008166408,,,,,-0.0013499657,,,0.0202618887,0.0018704815,,,,,,,0.0036905899,0.0159471258,,,,,,,,0.0099087608
1984-02-16,-0.0107804941,,0.0022899425,,0.001140324,,,,0.0041504756,-0.0002594521,,,0.0018446454,,0.0104073642,,,,-0.0002594521,,,,,,0.0112203505,,,,-0.0014642713,0.0009338654,,,,,-0.0024474182,,,0.0048819361,-0.0012245167,,,,,,,-0.0387752819,-0.0038313362,,,,,,,,-0.002490051
1984-02-17,0.0123982552,,,,-0.0268185412,,,,0.0030891448,-0.0054172702,,,0.0204052943,,0.0042680278,,,,0.0013108478,,,,,,-0.0026369288,,,,-0.0074976083,0.0051035554,,,,,0.0085360007,,,0.0348149269,-0.0002599726,,,,,,,-0.002357288,0.0193277882,,,,,,,,0.010952616
1984-02-21,-0.016759589,,-0.0040739565,,0.0224285212,,,,0.0092613758,0.0012956209,,,-0.0074055397,,-0.013020046,,,,-0.0026121243,,,,,,-0.0076893609,,,,0.0015630112,-0.0014472375,,,,,0.0095218115,,,9.33936627516471E-05,0.0028357872,,,,,,,-0.0355685424,-0.011811573,,,,,,,,0.0167412679
1984-02-22,0.0175337861,,-0.0002598082,,0.0160277515,,,,0.0280263076,-0.0012950049,,,0.0061742158,,0.0073387549,,,,0.01935944,,,,,,0.0049625545,,,,-0.0026855208,0.0027128434,,,,,0.0493720501,,,0.0377606576,-0.0021884485,,,,,,,0.0064940044,0.0364525902,,,,,,,,0.0012062698
1984-02-23,-0.0037588597,,0.0042047785,,-0.0234731879,,,,-0.0019959945,-0.0075162422,,,0.0120900114,,-0.0093140899,,,,-0.0018041622,,,,,,0.0079953273,,,,-0.0112046054,0.0305615917,,,,,0.0048879584,,,0.0353457003,-0.0020014866,,,,,,,0.0210533764,0.0004728479,,,,,,,,0.0008145591
1984-02-24,0.0037494771,,0.0054573682,,-0.0033722877,,,,-0.0084537844,0.0039148174,,,0.0166505085,,0.0035501287,,,,0.001283639,,,,,,0.0008875058,,,,0.0052711054,-0.0031357636,,,,,-0.016629285,,,-0.0055945378,-0.002389855,,,,,,,-0.0112786643,0.0037801035,,,,,,,,0.0138923776
1984-02-27,-0.0027562008,,0.0231133966,,-0.0107593777,,,,0.013508255,-0.0038981988,,,0.0084759773,,-0.0032969136,,,,-0.0002599452,,,,,,0.0004172618,,,,-0.0045386738,0.0003167561,,,,,0.0274831308,,,-0.0205553004,0.0014859326,,,,,,,0.0208434292,-0.002942872,,,,,,,,-0.000624576
1984-02-28,-0.006265595,,-0.0113707002,,-0.0774032656,,,,-0.0168007161,-0.0018245343,,,-0.0075634288,,-0.012422069,,,,-0.0048695892,,,,,,-0.0049246435,,,,-0.0039428303,0.0129968951,,,,,-0.0252355076,,,-0.0172701154,0.0007086526,,,,,,,-0.0217660934,-0.0118761212,,,,,,,,-0.0034761427
1984-02-29,0.0249170008,,0.0028618658,,-0.0608558768,,,,0.0012492606,0.0039204954,,,-0.0040431303,,0.004355018,,,,0.0229439889,,,,,,0.0076187803,,,,0.0052860536,-0.0184617357,,,,,0.0018107222,,,0.0329798659,0.0003211502,,,,,,,0.0192540083,0.0304224447,,,,,,,,0.010136815
1984-03-01,0.017913162,,0.0059630493,,0.0295120239,,,,-0.0030174936,-0.0018206001,,,0.0027999912,,0.014839809,,,,0.0019958675,,,,,,0.0046424111,,,,-0.0014852162,-0.0025772231,,,,,-0.000259726,,,-0.0055660854,0.004573994,,,,,,,0.0346545657,0.0035813495,,,,,,,,-0.007355077
1984-03-02,0.0089066662,,-0.0014956529,,0.0113056128,,,,0.0145678029,0.0033889387,,,0.010785699,,0.0175844517,,,,0.0087432747,,,,,,0.0022116452,,,,0.0058761748,0.0061291265,,,,,0.0242241988,,,-0.0013423988,0.0016653925,,,,,,,-0.0031040338,0.0085897048,,,,,,,,0.0033225229
1984-03-05,0.0035621192,,0.0022148076,,-0.005978073,,,,0.008660757,-0.0059732914,,,-0.0005740825,,0.0201847534,,,,0.006444313,,,,,,0.005836405,,,,-0.0069692897,0.0008920955,,,,,0.0156394113,,,0.0292774132,-0.0002619726,,,,,,,-0.0124906488,0.0128943626,,,,,,,,0.0082793877
1984-03-06,-0.004073469,,-0.0014992757,,-0.0274118213,,,,-0.0010050871,-0.0018305248,,,-0.0057796076,,0.0111888468,,,,0.0078548932,,,,,,0.0023984616,,,,-0.0039471865,-0.0135204294,,,,,-0.0071203663,,,-0.0061806254,0.0031929398,,,,,,,-0.0262620882,-0.0043584702,,,,,,,,0.0082214592
1984-03-07,-0.0098243938,,0.0003542648,,-0.0298111112,,,,-0.0145132016,-0.0070633276,,,0.000573006,,-0.0037986681,,,,-0.0009869102,,,,,,-0.0205155363,,,,-0.0095063086,-0.0125305195,,,,,-0.0239276971,,,-0.004014674,-0.0016038773,,,,,,,0.0103279339,-0.00860435,,,,,,,,-0.0044711685
1984-03-08,0.0113174499,,0.0009705323,,0.0271363328,,,,0.0099571236,-0.0013187475,,,0.0072626692,,-0.0073702631,,,,-0.0010035908,,,,,,0.0056336903,,,,-0.0021312333,-0.0120928828,,,,,0.0219711336,,,0.0052995419,-0.0019903604,,,,,,,-0.002361778,0.0116984279,,,,,,,,0.0117073606
1984-03-09,0.0049826122,,0.0059073601,,0.0916014945,,,,-0.0064387168,-0.0018469238,,,0.0073102781,,0.0140455993,,,,0.010739277,,,,,,-0.0097764588,,,,-0.0002654795,0.0093096253,,,,,-0.0091623576,,,0.0299290351,-0.0002654795,,,,,,,0.0190602216,0.0150687123,,,,,,,,-0.0013132075
1984-03-12,-0.0088093082,,-0.0027203439,,-0.0289153308,,,,-0.0114356758,0.0013175931,,,0.0109603407,,-0.0150820302,,,,-0.0038898093,,,,,,-0.0030500277,,,,0.0003566968,-0.0038229655,,,,,-0.0212044373,,,-0.0026363988,0.0037651278,,,,,,,0.0005579612,-0.0091434602,,,,,,,,-0.0016540349
1984-03-13,-0.0060118274,,-0.0021124705,,-0.0002674521,,,,0.005001344,-0.0007946002,,,-0.0001655983,,-0.0038424357,,,,0.0026506504,,,,,,0.0076886123,,,,-0.0027581121,-0.008595828,,,,,0.005829394,,,-0.008661497,-0.001223475,,,,,,,0.0359726385,-0.0071303112,,,,,,,,-0.0037576279
1984-03-14,0.002620234,,0.0015798809,,-0.0518053378,,,,-0.0117513021,-0.0034331049,,,-0.0002685479,,0.0061981037,,,,0.0077292296,,,,,,-0.0127353962,,,,-0.0021412071,-0.0002685479,,,,,-0.0275847116,,,0.0078771157,-0.0039049116,,,,,,,0.001718536,0.0079300934,,,,,,,,-0.0097055696
1984-03-15,0.0064528836,,-0.0021132102,,0.0409756707,,,,-0.0030475585,0.0002609087,,,-0.0011847821,,0.0182920302,,,,0.006940871,,,,,,0.0170513054,,,,-0.0008935827,-0.0038674719,,,,,0.0007621679,,,0.0183471441,-0.0054545153,,,,,,,0.019563241,0.0098386855,,,,,,,,-0.0002681918
1984-03-16,-0.0212530955,,-0.0070483121,,-0.0031000387,,,,0.0012441555,-0.0029148434,,,-0.0077121261,,-0.0107806209,,,,-0.0038566725,,,,,,-0.0029555325,,,,-0.0033996509,-0.0062912093,,,,,-0.0023532752,,,-0.0119357215,0.0041702721,,,,,,,-0.0072712259,-0.0195921888,,,,,,,,-0.0031026271
1984-03-19,0.001673245,,0.0077893928,,-0.0018514158,,,,0.0002315256,-0.0055773502,,,-0.0025345461,,-0.0073596612,,,,-0.0002751233,,,,,,-0.0037324336,,,,-0.0084358264,0.0075988925,,,,,0.0101592839,,,-0.0002751233,-0.0043120322,,,,,,,-0.0128081694,0.0038294856,,,,,,,,-0.0006362704
1984-03-20,0.0191672469,,0.0003368367,,0.01835107,,,,-0.0007849402,0.0002545011,,,0.0061033357,,-0.0024222735,,,,0.0054738115,,,,,,0.004573058,,,,0.0022530976,,,,,,0.0038283745,,,0.0333196895,0.0004935038,,,,,,,0.0171731129,0.0267011297,,,,,,,,-0.0126769386
1984-03-21,-0.0060029812,,-0.0033555513,,0.0025093121,,,,-0.0035700667,0.0002522445,,,0.0103566892,,0.0083021154,,,,0.0040018885,,,,,,0.0133858404,,,,0.0003507926,0.0021233256,,,,,-0.0018172726,,,0.0088546804,-0.0002805205,,,,,,,-0.0396529014,-0.00460214,,,,,,,,-0.0024255156
1984-03-22,-0.0084310115,,0.0040407878,,-0.0602466223,,,,-0.0160133841,-0.0018749783,,,-0.0031112555,,0.0238206388,,,,0.0047020751,,,,,,-0.0007565039,,,,-0.0015393639,-0.001476575,,,,,-0.0316281688,,,-0.0057844745,-0.0014347184,,,,,,,0.0025630866,-0.0039325885,,,,,,,,0.0212851793
1984-03-23,-0.002695521,,0.0015650258,,0.0191237866,,,,-0.00285248,-0.001877726,,,-0.0056567984,,-0.0009710351,,,,-0.000277726,,,,,,0.0067416549,,,,0.0003539859,-0.0098815676,,,,,0.0029001365,,,-0.0011879892,0.005514898,,,,,,,0.0183363357,-0.0015387601,,,,,,,,0.0148597016
1984-03-26,0.01135579,,-0.0008908742,,0.0171416014,,,,0.0041196322,0.0018589987,,,-0.0109920391,,0.0135669826,,,,0.0082082859,,,,,,0.0095919141,,,,0.0035101254,-0.0111868443,,,,,0.0166577697,,,-0.0122738054,-0.0010456551,,,,,,,-0.0006750123,0.0031657727,,,,,,,,-0.0047930427
1984-03-27,-0.0103399616,,0.0040168073,,-0.0303981532,,,,-0.0033707551,-0.0008107203,,,0.0014758099,,-0.0153019798,,,,-0.0044849874,,,,,,-0.0073108914,,,,-0.0021644637,0.0052370346,,,,,-0.0002776712,,,-0.028172853,0.0010671895,,,,,,,-0.0090208406,-0.0199528028,,,,,,,,0.0007715281
1984-03-28,-0.0002740822,,-0.0027175764,,0.0291472973,,,,0.0074751253,0.0039925845,,,0.0137292127,,-0.0044322373,,,,-0.006611721,,,,,,0.0039089519,,,,0.006027115,-0.0002740822,,,,,0.0288635307,,,-0.0053333707,-0.000657812,,,,,,,0.0145600363,-0.0017910017,,,,,,,,0.0018221172
1984-03-29,-0.0065681332,,0.0064602878,,0.0013120248,,,,-0.0015623418,0.0023795564,,,0.0013489145,,0.0101682193,,,,-0.0059546804,,,,,,0.0147764206,,,,0.0028550896,0.0039899108,,,,,-0.005328285,,,0.0081462754,0.0008758507,,,,,,,-0.0034362746,-0.0013275513,,,,,,,,-0.0027055039
1984-03-30,0.002160337,,-0.0002751233,,-0.0202497587,,,,-0.0061726317,-0.0076903775,,,0.0055034655,,0.0307330281,,,,0.007574373,,,,,,0.0014405566,,,,-0.0115110783,-0.0002751233,,,,,0.0058093099,,,0.0027976785,-0.0029591724,,,,,,,0.0151811335,0.0048722796,,,,,,,,-0.0058561285
1984-04-02,0.0036115706,,-0.0021005161,,-0.0077166562,,,,-0.0220881059,-0.0008093166,,,0.0070824306,,-0.0103008865,,,,0.0124675987,,,,,,-0.0136850008,,,,-0.0009070118,-0.0002756986,,,,,-0.0507734657,,,0.016847858,-0.00546601,,,,,,,-0.0127647219,0.0060092176,,,,,,,,0.0088240581
1984-04-03,-0.0007625751,,0.0015496056,,-0.0397179221,,,,0.0043925601,-0.0040158678,,,-0.0025799288,,0.0118775427,,,,0.0025051659,,,,,,0.0117078431,,,,-0.0065956673,-0.0166620431,,,,,0.0029060874,,,0.0283723131,-0.0054959392,,,,,,,-0.023201184,0.0104778712,,,,,,,,-0.005679522
1984-04-04,-0.0017309763,,-0.0014947368,,0.0241534336,,,,0.0015282107,-0.0018859088,,,-0.0140180373,,0.0063951915,,,,0.0080918276,,,,,,-0.0037866915,,,,-0.0028211034,-0.0015119981,,,,,0.0002590356,,,0.0192413277,0.0008873094,,,,,,,-0.0358732975,0.0071597302,,,,,,,,0.0037137274
1984-04-05,-0.0099765539,,-0.0014952597,,-0.0542686208,,,,-0.0074898138,0.0024066104,,,-0.0122764194,,-0.0234742839,,,,-0.0099542486,,,,,,0.0003196684,,,,0.0009974644,-0.0008948981,,,,,-0.0294183746,,,-0.0203803257,0.0028271521,,,,,,,0.0005616053,-0.0110677826,,,,,,,,-0.0165355633
1984-04-06,0.0100060079,,-0.0014975396,,-0.0079811086,,,,0.0041284743,0.0072166193,,,0.0018833559,,-0.0057052569,,,,0.001111895,,,,,,0.0012522408,,,,0.0099065684,-0.0033682623,,,,,0.0074647515,,,0.0128729458,0.0008825142,,,,,,,0.016065608,0.0087930485,,,,,,,,-0.0054161345
1984-04-09,0.003119747,,-0.0008838705,,-0.0002733699,,,,0.0020537375,0.001320679,,,0.0038346716,,0.009273559,,,,0.0039186499,,,,,,-0.0021983891,,,,0.0035073485,0.0009665557,,,,,0.00828302,,,-0.0202258992,0.0030110196,,,,,,,-0.0019226844,-0.0061905296,,,,,,,,0.0004667861
