rsi_timeperiod,rsi_lower,rsi_width,roc_timeperiod,roc_lower,roc_width,rebalance_freq,value
27,55,17,16,0.132453789,1.943223332,7,0.337197282
38,44,18,46,0.000728885,0.812359638,9,0.425558613
66,89,13,4,0.168258061,1.104381377,16,NA
119,76,21,35,0.057773782,0.265619928,3,NA
86,21,12,51,0.250782087,1.664794941,11,NA
54,28,28,20,0.080371298,1.358907346,13,0.396773095
103,57,23,27,0.299818125,0.652521321,18,NA
8,11,27,59,0.215452923,0.489077296,19,NA
36,45,20,46,0,0.984841361,8,0.133750191
40,43,17,46,0.030735039,0.671437122,10,0.159827563
56,39,28,18,0.091729155,1.177294338,13,0.24792335
36,45,16,46,0,0.871672057,8,0.194545635
50,42,19,46,0,0.732403224,9,0.306087724
42,42,18,46,0,0.927304711,11,0.420407692
28,45,19,46,0,0.784159365,11,0.442664439
52,17,28,22,0.069445675,1.533777255,13,-0.318728443
31,34,18,46,0,0.811876416,10,-0.477371278
40,50,19,51,0,0.802433996,11,0.234714391
39,51,19,41,0.001380452,0.836200712,10,0.528283193
56,39,28,18,0.072665237,1.488577475,13,0.097533872
51,48,18,41,0,0.911737964,9,0.144096618
13,54,20,40,0.002624,0.418613363,10,-0.216066802
104,45,18,48,0,1.080619537,10,0.241513334
27,52,20,31,0.003451568,0.811748797,10,0.200675056
33,48,19,40,0.000509766,0.823521925,10,0.349658372
60,43,20,40,0.002292535,0.786107367,11,0.126692544
5,44,18,44,0,0.916760244,12,-0.588707535
14,43,18,51,0,0.839210153,10,-0.22520037
52,43,18,44,0,0.829861287,10,0.483540697
43,52,19,37,0.002994239,0.955228592,10,0.185685976
29,43,19,49,0,0.719939336,11,0.523235772
35,43,19,48,0,0.802750854,11,0.305228719
23,44,19,48,0,0.667863526,11,0.133342403
37,52,19,42,0,0.754670598,10,0.357532792
30,44,19,53,0,0.741004836,10,0.253912197
40,48,19,43,0,0.906105314,10,0.248049301
55,45,18,44,0,0.799836698,9,0.286149662
54,43,18,47,0.001212742,0.89861407,10,0.503240936
37,50,18,23,0.001719839,0.727852289,10,0.100352146
40,52,20,24,0.001288885,0.973134438,10,0.010279686
29,42,19,63,0.000193873,0.635062582,12,0.467744489
46,42,18,45,0.000499398,1.566282221,11,0.246268226
38,48,19,63,0.001106386,0.680291466,8,0.165312037
38,51,19,53,0,0.816316756,10,0.219556674
29,48,20,52,0.001024108,0.639803302,11,0.082600132
53,42,18,45,0.000312798,0.823539003,10,0.308751916
51,42,18,45,0.000550174,0.902035102,11,0.359762407
29,43,19,52,0,0.70914743,12,0.566559909
44,44,18,47,0,0.757520184,9,0.46668001
52,44,18,49,0.002069316,0.941455695,11,0.580853328
37,50,19,39,0.009318818,0.870349245,10,0.33681542
51,44,18,51,0.001650782,0.841566057,10,0.111826185
35,51,19,37,0.006926752,0.659125298,11,-0.132689654
49,44,18,45,0,0.934971137,10,0.471708336
31,42,19,56,0,0.685877311,12,0.569336421
57,45,18,49,0.014387196,0.937310062,10,0.365155702
53,43,18,49,0.000648403,0.964479609,11,0.560025737
46,44,18,41,0,0.80482458,10,0.769620251
38,44,18,41,0,0.77745702,10,0.691433856
52,45,18,37,0,0.842120967,10,0.461176716
46,45,18,43,0,0.778693104,11,0.387947224
44,43,19,38,0,0.800299906,9,0.539049204
44,44,18,41,0,0.809048318,10,0.832373589
46,43,17,53,0,0.959090421,11,0.54965289
42,44,18,40,0,0.828499474,10,0.375771675
41,46,18,44,0,0.807236351,10,0.306762581
41,44,18,49,0,0.980279561,11,0.53792345
44,45,19,41,0,0.920409904,10,0.61438618
43,43,17,41,0.000317786,0.771400349,10,0.783694229
43,44,18,41,0,0.54539046,9,0.028610461
44,45,17,41,0.000104915,0.747902223,10,0.809828009
48,44,18,48,0.107407836,0.974508978,11,-0.408244206
47,44,18,50,0,0.943485267,11,0.472029075
43,45,18,41,0.00021187,0.814543253,10,0.668911905
42,43,19,41,0,0.795648796,9,0.014385857
45,47,16,41,0,0.656994371,10,0.692471452
43,44,18,41,0,0.951239466,11,0.404525111
43,44,17,41,0,0.773827993,10,0.847061709
44,44,17,41,0,0.823180331,10,0.760600629
46,44,19,41,6.90E-05,0.822518353,10,0.636827336
42,45,16,40,0,0.723071447,10,0.467164886
43,45,17,47,0,0.768751189,11,0.582400058
44,44,17,40,0,0.771114585,10,0.457616828
45,48,17,43,0.001269356,0.763014294,10,0.344724094
45,44,18,43,0.000209592,0.867978107,10,0.408856758
42,44,18,41,0,0.729518902,11,0.38128262
48,44,17,48,0,0.975232861,11,0.292602571
37,43,18,53,0,0.83025701,12,0.674721809
44,45,16,41,0,0.668553389,10,0.760600629
37,42,18,52,0,0.855213863,12,0.604616579
42,44,17,41,0,0.762201617,10,0.740829217
49,44,16,41,0,0.675463451,10,0.967094951
36,44,17,52,0,0.786707641,12,0.593729195
48,44,17,41,0,0.666012303,10,0.805109494
48,44,16,41,0,0.674234621,10,0.88428875
43,45,16,42,0,0.735296449,10,0.868259895
37,47,18,41,0,0.870187249,10,0.505724012
53,47,18,48,0.010055995,0.968931102,11,0.462264216
45,43,18,41,0,0.82446792,9,0.329375152
49,45,16,41,0,0.748954338,10,0.831941529
49,43,16,41,0,0.656477758,10,0.832330246
44,44,18,49,0,0.902453832,11,0.518732399
49,45,16,41,0,0.63876872,10,0.831941529
34,42,18,53,0,0.780543949,12,0.761961592
50,45,16,41,0,0.689585914,10,0.854533009
34,43,19,52,0,0.794190935,13,0.318790634
36,44,18,41,4.06E-05,0.786337054,10,0.616626298
36,42,17,53,0,0.785490182,11,0.335173602
43,43,18,51,0,0.965046265,11,0.629335248
49,44,16,41,0,0.706839417,10,0.967094951
44,45,17,51,0,0.956386446,11,0.586588571
49,44,16,42,0,0.738271511,11,0.256278343
32,42,18,54,0,0.743074808,12,0.943562741
49,44,16,40,0,0.70698361,9,0.373743247
43,44,16,41,0.008519723,0.05,10,0.611235576
33,42,18,54,0,0.921426687,12,1.009709168
44,42,19,40,0,1.333611693,10,0.457616828
33,42,18,55,0,0.965335895,12,0.54294794
32,42,18,53,0,1.665566271,12,0.751649181
33,42,16,54,0,0.05,12,0.747609768
38,44,20,41,0,1.81389579,11,0.236225295
33,41,18,54,0,2,11,0.383677111
33,42,18,54,0,0.05,12,0.693887851
33,43,18,54,0,0.083424767,13,0.573046227
33,43,18,54,0,2,13,0.343354325
33,42,17,54,0,1.018149981,12,0.963270409
49,44,16,42,0,0.689033331,9,0.360468083
50,44,16,41,0,0.694876776,11,0.265516509
37,45,18,41,0,0.05,11,0.468931453
53,44,18,48,0.020805817,0.726871166,10,0.470758711
43,46,16,41,0,0.763077938,10,0.809826883
38,44,18,52,0,0.872290622,12,0.606036067
37,44,18,40,0.002556363,0.650126663,9,0.101437652
37,43,17,53,0,0.777943889,14,0.421527506
34,43,16,54,0,0.939211874,12,0.939179201
43,45,17,42,0.001687757,1.50591462,10,0.772090718
33,43,18,54,0,1.028984693,12,0.941792318
50,44,15,41,0,0.683771459,10,0.579876293
50,44,17,41,0,0.675164611,10,0.846629054
33,42,18,54,0,1.11405527,12,1.009709168
43,44,17,42,0,0.710415403,10,0.868259895
33,42,18,54,0,1.012119663,12,1.009709168
45,42,17,51,0,0.900704291,11,0.605761367
53,44,18,47,0,1.154873324,11,0.752070474
49,44,16,41,0.019088467,0.695203946,10,0.698814757
34,42,18,54,0,1.513029552,12,0.990406816
43,45,17,42,0.020150858,0.874235522,10,0.785243467
33,42,17,54,0,0.772067562,12,0.97547021
33,42,18,54,0,1.488573276,12,1.009709168
49,44,16,40,0,0.694118639,10,0.677767333
33,41,15,54,0,0.930717495,12,0.819140185
34,42,19,54,0,1.338611181,12,0.925832206
49,44,16,42,0,0.698019356,10,0.974687387
33,42,18,54,0,1.405195937,12,1.009709168
53,44,19,48,0,1.431156283,11,0.463814184
45,44,19,52,0,0.933733003,11,0.298747085
53,44,17,47,0,0.671638504,11,0.76677205
53,44,17,48,0,0.686960668,11,0.496891041
35,42,18,54,0,1.023132398,12,0.979738653
53,45,18,46,0.004087258,0.789684641,11,0.407467618
53,43,17,47,0,0.890963618,11,0.692844263
34,42,17,54,0,0.906108834,12,0.939179201
50,44,16,42,0,0.703718727,10,0.866781854
36,41,18,54,0,1.359625271,12,0.863517648
33,43,16,54,0,0.658574335,12,0.97547021
36,42,18,55,0,1.289366821,12,0.539916695
52,45,17,47,0,1.052966517,11,0.783708909
33,42,18,54,0,0.944002934,11,0.36512664
