rsi_timeperiod,rsi_lower,rsi_width,roc_timeperiod,roc_lower,roc_width,rebalance_freq,value,value_stddev,failed
5,0,10,2,0.277843225271,2.0,10,None,None,true
5,0,30,25,0.279388476383,2.0,11,None,None,true
126,0,30,11,0.279060797441,2.0,11,None,None,true
73,90,10,2,0.258271461503,2.0,11,None,None,true
126,0,10,28,0.284825056697,0.05,11,None,None,true
126,90,30,2,0.292532185137,2.0,11,None,None,true
126,90,30,27,0.295523800139,2.0,11,None,None,true
5,0,30,36,0.280819293852,2.0,11,None,None,true
126,90,10,8,0.291030957806,2.0,11,None,None,true
5,0,30,22,0.293893692244,0.05,11,None,None,true
5,90,10,22,0.270379431145,0.05,11,None,None,true
5,0,10,22,0.3,2.0,11,None,None,true
126,90,10,12,0.280088433869,0.05,11,None,None,true
5,0,10,6,0.3,1.07748193357,11,None,None,true
126,0,30,55,0.27062351892,0.05,11,None,None,true
5,0,10,14,0.3,1.35969340309,11,None,None,true
5,0,10,55,0.299834440421,2.0,11,None,None,true
126,90,30,2,0.274483523735,2.0,11,None,None,true
126,90,10,30,0.285658149687,2.0,11,None,None,true
5,90,10,14,0.281041898684,0.05,12,None,None,true
126,90,10,2,0.28818337276,2.0,11,None,None,true
126,0,30,57,0.277129341974,0.15001224208,11,None,None,true
5,0,10,42,0.3,2.0,11,None,None,true
126,0,30,53,0.26407352249,0.05,11,None,None,true
5,0,30,31,0.295974212489,2.0,11,None,None,true
126,90,30,60,0.268826750101,0.0500000824434,11,None,None,true
126,90,30,47,0.278911956052,0.05,11,None,None,true
126,90,30,6,0.293952864079,2.0,12,None,None,true
5,90,30,26,0.3,2.0,11,None,None,true
126,0,10,43,0.298872208741,0.05,11,None,None,true
126,90,30,8,0.273342387052,0.05,10,None,None,true
5,0,10,23,0.3,0.05,11,None,None,true
126,90,10,2,0.284303428284,0.05,10,None,None,true
126,90,10,6,0.268722616906,2.0,11,None,None,true
49,0,30,16,0.241732878796,0.728413504318,11,None,None,true
126,0,10,9,0.2798057274,0.05,11,None,None,true
5,0,30,2,0.290783796034,0.05,11,None,None,true
126,90,30,29,0.265883568457,2.0,10,None,None,true
126,0,10,6,0.297969722085,2.0,11,None,None,true
5,0,10,45,0.3,2.0,11,None,None,true
126,0,16,2,0.286174739693,2.0,12,None,None,true
126,0,10,32,0.3,2.0,11,None,None,true
126,0,10,23,0.280832713848,2.0,12,None,None,true
5,90,10,4,0.3,2.0,11,None,None,true
5,0,30,22,0.298688288958,0.05,10,None,None,true
5,0,30,13,0.3,2.0,11,None,None,true
126,90,30,22,0.295993255351,2.0,11,None,None,true
5,90,10,18,0.262038453736,0.05,11,0.0452000228387,None,false
5,0,30,35,0.283737471054,0.05,10,None,None,true
