rsi_timeperiod,rsi_lower,rsi_width,roc_timeperiod,roc_lower,roc_width,rebalance_freq,rsi,roc,freq,value
5,40,10,42,0.01,0.05,5,"(5, 40, 10)","(42, 0.01, 0.05)",5,0.331423927
65,40,30,42,0.01,0.05,15,"(65, 40, 30)","(42, 0.01, 0.05)",15,-0.053407812
95,40,30,42,0.01,0.05,5,"(95, 40, 30)","(42, 0.01, 0.05)",5,0.331423927
65,40,10,62,0.11,0.05,15,"(65, 40, 10)","(62, 0.11, 0.05)",15,-0.053407812
65,40,10,62,0.11,0.35,5,"(65, 40, 10)","(62, 0.11, 0.35)",5,0.331423927
65,40,10,62,0.11,0.65,15,"(65, 40, 10)","(62, 0.11, 0.65)",15,-0.053407812
65,40,10,62,0.11,0.95,5,"(65, 40, 10)","(62, 0.11, 0.95)",5,0.331423927
35,40,20,42,0.01,0.05,15,"(35, 40, 20)","(42, 0.01, 0.05)",15,-0.053407812
35,40,30,42,0.01,0.05,5,"(35, 40, 30)","(42, 0.01, 0.05)",5,
5,40,20,42,0.01,0.65,15,"(5, 40, 20)","(42, 0.01, 0.65)",15,
5,40,20,42,0.01,0.95,5,"(5, 40, 20)","(42, 0.01, 0.95)",5,
5,10,20,42,0.11,0.05,15,"(5, 10, 20)","(42, 0.11, 0.05)",15,
5,10,20,42,0.11,0.35,5,"(5, 10, 20)","(42, 0.11, 0.35)",5,
5,10,20,42,0.11,0.65,15,"(5, 10, 20)","(42, 0.11, 0.65)",15,
5,10,20,42,0.11,0.95,5,"(5, 10, 20)","(42, 0.11, 0.95)",5,
65,40,20,42,0.01,0.05,15,"(65, 40, 20)","(42, 0.01, 0.05)",15,
5,40,20,42,0.01,0.35,5,"(5, 40, 20)","(42, 0.01, 0.35)",5,
95,40,10,42,0.01,0.05,15,"(95, 40, 10)","(42, 0.01, 0.05)",15,
65,40,20,2,0.01,0.05,5,"(65, 40, 20)","(2, 0.01, 0.05)",5,
5,40,10,42,0.01,0.05,15,"(5, 40, 10)","(42, 0.01, 0.05)",15,
95,40,20,42,0.01,0.05,5,"(95, 40, 20)","(42, 0.01, 0.05)",5,
5,40,20,42,0.01,0.05,15,"(5, 40, 20)","(42, 0.01, 0.05)",15,
